rank,csa_code,csa_title,population_2023,zhvi,zori,price_to_rent,appreciation_since_2000
1,408,"New York-Newark, NY-NJ-CT-PA",21859598,743100,3183,19.5,3.33
2,348,"Los Angeles-Long Beach, CA",18316743,863626,2786,25.8,4.23
3,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",10069592,534878,2160,20.6,3.0
4,176,"Chicago-Naperville, IL-IN-WI",9794558,343787,2125,13.5,2.19
5,488,"San Jose-San Francisco-Oakland, CA",9001024,1111399,3056,30.3,3.66
6,206,"Dallas-Fort Worth, TX-OK",8654750,360500,1649,18.2,2.69
7,148,"Boston-Worcester-Providence, MA-RI-NH",8345067,660038,2649,20.8,3.37
8,288,"Houston-Pasadena, TX",7706626,304530,1634,15.5,2.42
9,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",7390919,385414,1943,16.5,3.05
10,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",7221137,381496,1820,17.5,2.55
11,370,"Miami-Port St. Lucie-Fort Lauderdale, FL",7011936,471976,2661,14.8,3.96
12,220,"Detroit-Warren-Ann Arbor, MI",5361927,271851,1490,15.2,1.97
13,429,"Phoenix-Mesa, AZ",5124113,453093,1747,21.6,3.11
14,500,"Seattle-Tacoma, WA",4993725,738818,2127,28.9,3.33
15,422,"Orlando-Lakeland-Deltona, FL",4509624,364241,1906,15.9,3.21
16,378,"Minneapolis-St. Paul, MN-WI",4104786,384782,1666,19.2,2.54
17,184,"Cleveland-Akron-Canton, OH",3732803,236699,1357,14.5,2.16
18,216,"Denver-Aurora-Greeley, CO",3691404,578612,1917,25.1,2.95
19,172,"Charlotte-Concord, NC-SC",3387115,370105,1684,18.3,2.56
20,440,"Portland-Vancouver-Salem, OR-WA",3286669,527797,1770,24.8,3.0
21,476,"St. Louis-St. Charles-Farmington, MO-IL",2900730,263792,1397,15.7,2.15
22,482,"Salt Lake City-Provo-Orem, UT-ID",2805734,567418,1723,27.4,3.06
23,484,"San Antonio-New Braunfels-Kerrville, TX",2785647,288112,1425,16.8,2.24
